corpusid|source|window|senseid  
697466063|la_tercera|Si una persona mira directamente a los ojos mientras comenta un logro reciente, pero a el mismo tiempo no puede dejar de tocarse la cara, eso es una pista que indica que no todo es verdad.|FACE
697477598|la_tercera|En la otra cara de la moneda, el dólar se alzó como el gran beneficiado de las turbulencias internacionales.|SIDE
697547732|la_tercera|De poca estatura, la cantante lleva en la cara la imagen exacta de su padre y aparece siempre muy maquillada, especialmente en las sombras de los ojos, tal como lucía su madre cuando se casó muy joven con Elvis.|FACE
697576952|la_tercera|Salió por la puerta de pasajeros internacionales y no quiso comentar nada, se tapaba la cara cuando le sacaban fotos y trataba de evadir a la prensa, relata el reportero de El Universo.|FACE
697584907|la_tercera|Le quebraron un vaso en la cara y quedó todo ensangrentado, con 13 tajos.|FACE
697585499|la_tercera|Bajan después de una hora y cerca de las tres de la mañana suben de nuevo, con cara de felicidad, y hasta el otro día.|FACE
697590707|la_tercera|A Jennifer Warner le dicen que tiene cara de caballo y que casa en el hipódromo.|FACE
691844729|la_tercera|La nueva regulación establece además que las advertencias sobre daño para la salud cubran el 30% de la cara frontal de las cajetillas.|SIDE
675291487|la_tercera|Tenía la cara desencajada.|FACE
675406702|la_tercera|Durante 53 días no conocerá la cara de sus captores todo contacto se hará por escrito, sobre billetes de reales.|FACE
675495864|la_tercera|A las oficinas de la administración de Saville Row llegan caras nuevas, entre ellas está Felipe Bertin, con una línea más joven y la idea de complementar la sastrería.|FACE
675506162|la_tercera|'Teníamos sólo un torneo y un amistoso previo. Y jugar con dos mil personas igual afecta . Ahora hay que olvidar se de esto y ganar todo lo que viene. Y ojalá que me toque España en semifinales para romperles la cara', dijo Pablo Jara, el más experimentado de el equipo nacional.|FACE
675669404|la_tercera|La cara de Alvaro Fillol cuando entró a el court central de el Club Naval Las Salinas era de preocupación.|FACE
675740793|la_tercera|El locutor explicó que cuando ello ocurre sale de el estudio y corre a mojarse la cara y el pelo.|FACE
675763337|la_tercera|Habían transcurrido más de 30 horas desde su despegue de Nueva York y, agotado, luchaba por vencer el sueño abofeteandose la cara.|FACE
675825570|la_tercera|A el margen de el glamour de ver caras conocidas ingresando a el mundo de el vino, el presidente de Chilevid, Rodrigo Alvarado, plantea que es muy positivo que más empresarios incursionen en el rubro.|FACE
675898381|la_tercera|Arranca entusiastas aplausos de la platea y Myriam agradece con cara de sorpresa y se lleva las manos a el pecho.|FACE
675907055|la_tercera|La otra cara de la moneda ha sido Roberto Carlos, que, por el contrario, sí podrá jugar de titular.|SIDE
675916998|la_tercera|Aprovechando el éxito de figuras jóvenes, 'caras nuevas' postularán a un cargo en la directiva.|FACE
676005900|la_tercera|Alicia Pedroso volvió de Cuba muy delgada y da entrevistas en los pasillos con cara muy seria, pero la de peor gusto es Patricia Manterola, la co-animadora que enfrenta el tumulto de la llegada con un jockey Burberry, cartera Vuitton y un buzo deportivo de esos para hacer las compras de el supermercado.|FACE
676031776|la_tercera|El equipo de expertos de las compañías japonesas Matsushita Electric Industrial (Panasonic-Technics), Sony ,Toshiba, Hitachi, Pioneer y Sharp , la holandesa Philips, la francesa Thomson Multimedia (RCA) y las surcoreanas LG Electronics y Samsung Electronics, desarrollarán también equipos de grabación y discos DVD con una memoria seis veces mayor a la de los aparatos actuales, con lo que será posible almacenar 30 gigabites en una sola cara o el equivalente a 40 horas de imagen y sonido de la televisión convencional o dos horas de video de alta calidad.|SIDE
676047786|la_tercera|De esta manera, Valdivia no buscará un refuerzo interior, por lo que Leonel Méndez (ex Provincial Osorno) será la única cara nueva en el equipo que dirige Marcos Guzmán.|FACE
676090225|la_tercera|Además, sostiene Gómez, una cara de la moneda es el alza en el valor de el terreno, pero, por otro lado, se ha abaratado el costo de la urbanización (alcantarillado, electricidad, pavimentación) por el mismo efecto de la mayor cantidad de conjuntos residenciales que han llegado a esas comunas.|SIDE
676090862|la_tercera|El domingo se verán las caras.|FACE
676130670|la_tercera|Según fuentes gubernamentales de Estados Unidos, la cinta muestra a Pearl hablando con alguien como si fuese una entrevista cuando imprevistamente una persona a la cual no se le ve la cara aparece por detrás, toma bruscamente de la cabeza a el periodista y le corta el cuello con un cuchillo.|FACE
676206076|la_tercera|Las nuevas caras cruzadas son el seleccionado paraguayo Jorge Campos y los chilenos Rodrigo Barrera, Eduardo Arancibia, Carlos Verdugo, Carlos Tapia, Nelson Cossio, Fernando Solís, Branco Matijevic y Albert Acevedo.|FACE
676206565|la_tercera|El entrenador Víctor Hugo Castañeda cruza su brazo izquierdo, apoya el codo en éste y se toca la cara.|FACE
676206922|la_tercera|También lo hizo Castañeda, que dejó de tocarse la cara.|FACE
676209933|la_tercera|De rodillas, Nicolás Massú se toma la cara y el ¡vamos! que ya ha patentado en el Buenos Aires Lawn Tennis brota espontáneo de su boca.|FACE
676282541|la_tercera|También está la Conejita Playboy, Karla Brandt, que está de portera, forrada en brillos y escotes brillantes estilo segunda mano y pone cara de mala y 'Chavito' es el más famoso que se retuerce en medio de codazos, empujones y roces sin querer porque este lugar está lleno.|FACE
676335002|la_tercera|Ni siquiera a lo Rita Hayworth, con vestido brillante de tajo escandaloso, rojo intenso y cara de gata, bailando un número poco ensayado de éxitos de discoteca playera y con los chicos de el ballet elevando la como Rafaella Carrá, sedujo a la gente.|FACE
676359913|la_tercera|Silva explicó que es decisión de las personas mostrar o no sus caras.|FACE
676389412|la_tercera|La primera vez que se vieron las caras fue el año pasado en Austria, cuando el europeo se impuso por 7-6 y 6-2 en la arcilla de Sainkt Pölten.|FACE
676393799|la_tercera|Javiera permanece bajo observación médica en casa de su madre, debido a las lesiones que presenta en su cara y cuerpo, además de varias costillas rotas.|FACE 
676404254|la_tercera|Fuentes de el departamento de Sanidad de el Gobierno regional vasco informaron que Cabezudo tiene numerosos cortes en la cara y una fractura en un pie de la que podría ser intervenida, mientras que Torres sufre cortes por cristales y problemas en un oído.|FACE
676421054|la_tercera|En tal sentido una de las pruebas más esperadas será el slalom en categoría open , donde nuevamente se verán las caras los especialistas Rodrigo Miranda y Rodolfo Guzmán, quienes han protagonizado estrechos duelos en las fechas anteriores.|FACE
837739196|que_pasa|Un ejemplo de ello es el gran mural que pintó en la cara poniente de el edificio de Compañía con Bandera, con esa imagen de el caudal de el río Mapocho que se nos viene encima, corriendo sobre un azaroso plano inclinado, mientras nuestros pies de distanciados espectadores descansan sobre una superficie perfectamente horizontal.|SIDE
838252388|que_pasa|A pesar de su corta edad y su cara de niña, Josefowicz tiene una larga trayectoria que ha puesto a prueba en escenarios como el Carnegie Hall de Nueva York y el Royal Festival Hall de Londres.|FACE
838308347|que_pasa|Desde 1992, su cara ha aparecido en las portadas de Cosmopolitan, Elle, Marie Claire y Glamour, entre otras, y hoy prepara su propio calendario de fotografías en traje de baño.|FACE
838455574|que_pasa|Raúl Ruiz, que tempranamente deslindó su obra de cualquier parentesco con otros connacionales, relata que le importaba en esta cinta hacer planos cercanos de los actores, filmando lugares como la frente y la nuca, que dejan a el espectador una sensación incómoda, como si le estuvieran pasando una mano por la cara.|FACE
838486077|que_pasa|Cada vuelo, le dijo a sus colegas de el Kremlin, 'es una cachetada en la cara'.|FACE
799801196|mostrador|Con cara de niño a los 29 años, sigue vistiendo se con su ropa habitual, a pesar de que la productora estadounidense de Los otros insistiera en comprar le una chaqueta de Miyake y unos zapatos Gucci que no me los voy a poner nunca más.|FACE
799813257|mostrador|Cada vez que la sicóloga decía la palabra orgasmo, había un sospechoso corte que incluso provocó quiebres de ejes ella aparecía hablando con la cara hacia la izquierda y luego, sin un paso armónico como corresponde, salía con su rostro hacia la derecha.|FACE 
799842852|mostrador|Cáceres le dio un manotazo en la cara a el volante Patricio Luna, fue expulsado y dejó a su equipo con un jugador menos cuando quedaba más de una hora de encuentro.|FACE
800071592|mostrador|El presidente de el Banco de el Estado, Jaime Estévez, explicó que esta medida tiene dos caras, porque cuando se pagan intereses también se cobra por las cuentas corrientes.|SIDE
800077680|mostrador|Busca la distancia con esta tierra, desde la que le llegan esos postes restantes, esas cartas no contestadas, devueltas, la cara opuesta, busca encontrar se en el desencuentro con Chile.|SIDE
800078018|mostrador|Para cerrar la idea, volviendo a el epígrafe de Yourcenar, la cara opuesta de una cárcel que puede tener por barrotes las ilusorias fronteras de el mundo entero.|SIDE
800129115|mostrador|La preocupación en el entrenador de Agassi se notaba en su cara y Massú se estaba convirtiendo en una gran sorpresa para el público.|FACE
